,Company,Job Title,Job Location,Job Date,Job Image URL
0,Future Group Translation Services,Senior Business Intelligence Analyst,"Al Jizah, Egypt",50 minutes ago,https://media-exp1.licdn.com/dms/image/C560BAQGjslUN29H0Ow/company-logo_100_100/0/1522000128250?e=2147483647&v=beta&t=y2a5bY9pMoCniodl11f9NcvgGnUXr-ZTQ__pOjED8gs
1,Axis,Data Analyst,"Cairo, Cairo, Egypt",1 day ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHRFaZ1H7WGFQ/company-logo_100_100/0/1654691837206?e=2147483647&v=beta&t=yxh6qRITMI-oNDOsBl9EyE1jjnS66ZrlJ895xCjqesE
2,Si-Ware Systems,Machine Learning & Data Analysis Graduate Intern,"Cairo, Cairo, Egypt",2 months ago,https://media-exp1.licdn.com/dms/image/C560BAQEJf2IKY2mrrg/company-logo_100_100/0/1657552408696?e=2147483647&v=beta&t=drZXEjcuux9UrI5QzD9eoAm5DpmPrfrh6a2oH6ZOXno
3,Klivvr,Data & BI Analyst,"Qesm El Zamalek, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4E0BAQFTXx4HP3gWPA/company-logo_100_100/0/1622971664467?e=2147483647&v=beta&t=UCyDVbzNQYZVQFzN-9ilCBaQ6UL4VrHzttq8dQF66kY
4,Koinz,Data Analyst,"Cairo, Egypt",5 days ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGe0lof7xRcPw/company-logo_100_100/0/1570868482744?e=2147483647&v=beta&t=ax2X3sUOaQ5ZfsBFuUhm8VwvlD7ZQvsap_GzRnJTxxI
5,Property Finder,Reporting and Data Analyst,Egypt,6 days ago,https://media-exp1.licdn.com/dms/image/C510BAQG4tZBgCKmaZw/company-logo_100_100/0/1537034954585?e=2147483647&v=beta&t=NYsSLR0ZlKfk3kHUu0y_AbGOPsnDr3Tvnm2s3OWrPcs
6,Floward,Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGQMjUWwbZQig/company-logo_100_100/0/1652682936917?e=2147483647&v=beta&t=QsIjQNOYxqjztTHtEParIcoYb3TnE1SizpJSxixcClQ
7,NEXEL PARTNERS,Data Science Specialist,"Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQF9cuUC_p2trA/company-logo_100_100/0/1520240879538?e=2147483647&v=beta&t=T-BQYLSzi7-y7kwL2fWh48x0K2lpPkyVuCxazAuO6NI
8,OLX Egypt,Data Analyst,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFV6Nh-zE7eww/company-logo_100_100/0/1649769484075?e=2147483647&v=beta&t=JsuDaYmj-sXN2mhdkrpiID-EkSdh5pd6ucV8s5fdIqA
9,Cornerstone Recruitment MENA,Data Analyst,"Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQH62iaBWAFgzA/company-logo_100_100/0/1655186307580?e=2147483647&v=beta&t=cccPfMpeiYvNe_VGgxNEp4ojt_HqTX_X-1AHAd29C64
10,Careem,Data Analyst II,Egypt,1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQECakFb5lj_aw/company-logo_100_100/0/1606036699836?e=2147483647&v=beta&t=0Bp9-cu1avC_Zla5rBMLFe8aiTeDy0EYMuyqNCrckJU
