,Company,Job Title,Job Location,Job Date,Job Image URL
0,NEXEL PARTNERS,Data Science Specialist,"Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQF9cuUC_p2trA/company-logo_100_100/0/1520240879538?e=2147483647&v=beta&t=T-BQYLSzi7-y7kwL2fWh48x0K2lpPkyVuCxazAuO6NI
1,Reliance Health,Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGz2MAmNGdUfQ/company-logo_100_100/0/1642678205634?e=2147483647&v=beta&t=SWsgAh-SdL8yAoXMt4zhwtxarX-hMKJmfyh2H-j3kL8
2,Floward,Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGQMjUWwbZQig/company-logo_100_100/0/1652682936917?e=2147483647&v=beta&t=QsIjQNOYxqjztTHtEParIcoYb3TnE1SizpJSxixcClQ
3,Fekra Egypt,Python Developer For sports statistics,Egypt,6 hours ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHi412fmYC6kw/company-logo_100_100/0/1618473219765?e=2147483647&v=beta&t=rRY29lmxX3BKrAUyfLlxDUyzhebUWqgh_Vw_qUJv9Ug
4,Udacity,AI Programming with Python,"Cairo, Egypt",3 weeks ago,https://media-exp1.licdn.com/dms/image/C560BAQHiNYfm0YHKrg/company-logo_100_100/0/1656621848272?e=2147483647&v=beta&t=LScuiZRXTMa84YWve4InQYOLbVpxJ8RHRZ-xwrWlJW8
5,Si-Ware Systems,Machine Learning & Data Analysis Graduate Intern,"Cairo, Cairo, Egypt",2 months ago,https://media-exp1.licdn.com/dms/image/C560BAQEJf2IKY2mrrg/company-logo_100_100/0/1657552408696?e=2147483647&v=beta&t=drZXEjcuux9UrI5QzD9eoAm5DpmPrfrh6a2oH6ZOXno
6,Euruq Alsahra,Chief Technology Office  Data Analyst,"Cairo, Cairo, Egypt",1 hour ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHXJwGnCLp93w/company-logo_100_100/0/1662550057230?e=2147483647&v=beta&t=1lQDBtgk8W0OjxB4hUA9FBUdhvBFU6iPH1YjcQ_07XE
7,Axis,Data Analyst,"Cairo, Cairo, Egypt",1 day ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHRFaZ1H7WGFQ/company-logo_100_100/0/1654691837206?e=2147483647&v=beta&t=yxh6qRITMI-oNDOsBl9EyE1jjnS66ZrlJ895xCjqesE
8,MaxAB,Performance Analytics Manager,"Cairo, Egypt",30 minutes ago,https://media-exp1.licdn.com/dms/image/C560BAQEGF_lfyeVKGA/company-logo_100_100/0/1549197689049?e=2147483647&v=beta&t=cWjQf_bjkW6B1R3S0daXQzVNnHBPfsG01HiOAGu1PBs
9,Turing.com,Remote Python Developer Jobs,Egypt,2 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHWL-DC3W7lTQ/company-logo_100_100/0/1656664852847?e=2147483647&v=beta&t=GsGQEvtmF4QIoWMyEILibLItAziqc0YD0QQ2yqWXYJU
10,Dell Technologies,Software Engineer Graduate Intern,"Cairo, Cairo, Egypt",4 days ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_100_100/0/1614178926580?e=2147483647&v=beta&t=2qdj1S1RzeYNjqk62GFUhp3ZhtZW1Npy1m0p9k-Zhnk
11,Dell Technologies,Software Engineer Graduate Intern,"Cairo, Cairo, Egypt",4 days ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_100_100/0/1614178926580?e=2147483647&v=beta&t=2qdj1S1RzeYNjqk62GFUhp3ZhtZW1Npy1m0p9k-Zhnk
12,PaxeraHealth,AI Engineer,"6th of October, Al Jizah, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHuv_qD2vApqA/company-logo_100_100/0/1519912802205?e=2147483647&v=beta&t=YYLz2ObaQtYwCq95qeTSsPfhrzDYZdshovKOmw8qugc
13,Idea ICT,Python Developer with ERPNext and Frappe Experience,"Alexandria, Egypt",5 hours ago,https://media-exp1.licdn.com/dms/image/C4D0BAQG4wDM0HWhqnw/company-logo_100_100/0/1519882833873?e=2147483647&v=beta&t=8w2-U6NBgrIzzdaGskh-LG8yVpbQs6AqZQuP5p2DMCQ
14,Tribal,Machine Learning Engineer,"Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGzH3jwML6rUA/company-logo_100_100/0/1637777049451?e=2147483647&v=beta&t=MNtEfpNzA93buOgiOB8C3RG9HNaegSoxhJOCn4ZNAYw
15,Cornerstone Recruitment MENA,Data Analyst,"Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQH62iaBWAFgzA/company-logo_100_100/0/1655186307580?e=2147483647&v=beta&t=cccPfMpeiYvNe_VGgxNEp4ojt_HqTX_X-1AHAd29C64
16,Dominick E-Solutions,Data Engineer,"Cairo, Egypt",1 hour ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFcPXwnVRdRAw/company-logo_100_100/0/1659263340337?e=2147483647&v=beta&t=IJAIbY-84gC8j7KNLAfw3NR8xA-vXDbweWrW3_8aACA
17,VOYɅNCE,Algorithm Development System Engineer,"New Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C560BAQHHn_sZ9NEMoQ/company-logo_100_100/0/1619863194099?e=2147483647&v=beta&t=6yieupmDm32vM4VBBrdoncGlNvX3GT7pgUraq70qZwo
18,Fugro,Data Engineer,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQHg3VjvnoShqQ/company-logo_100_100/0/1559309136763?e=2147483647&v=beta&t=7gNeSTjjvhRIMIhtwwFYdQznmlKHxumQ-XSvLXAO470
